,Tweet
102,@castby9arm (4) เกลียดสุดว่าแค่นี้ทนไม่ได้จะอยู่ได้ยังไง บลาๆ คือในใจกุแบบ บางคนเป็นน้องกุอีกจ้าาาา มาตะคอก มึงทำงานยังคะ อส แล้วนี่ไม่ชอบระบอบนี้ แต่พ่ออิฉันชอบจ้า เพราะนางก็จบมี่เดียวกับเราและเป็นโซตัส
103,เริ่มจากโซตัส ชอบพี่ไบร์ทมาก กวนตีนดี เลยไปหาผลงานอื่นดู ละเจอรุ่นพี่ ดีย์มากกกก ชอบ ปัก เบบี๋ เบใจ 
104,"รับน้องโซตัส  via @YouTube

เหตุผลที่กุเกลียดชีวิตมหาลัยคือโซตัสจริงๆ
พ่กกุไม่เข้า เพื่อนโดนทำโทษ พ่กกุโดนด่า เสี้ยมให้คนเกลียดกัน อุบาดทั้งหมด แต่โชคดีที่ชั้นยังพอมีเพื่อนคบอยู่บ้าง ขอโทษที่ทำให้โดนทำโทษแต่ชั้นไม่ผิด และก็ไม่เคยผิดสำหรับเรื่องนี้ 🥹"
105,เริ่มจากโดนพี่ออฟตกจากโซตัส แล้วก็ตามอยู่ห่างๆ ต่อมาก็โดนน้องกันตกจาก secret seven หลังจากนั้นเลยกลับไปดู puppy honey โดนตกไปเต็มๆเลย กลายมาเป็นเบบี๋จนทุกวันนี้ #เบบี๋5ขวบแล้วจ้า 
106,"บ้านฉันหมามีระบบโซตัส ตัวน้ำตาลน้องเป็นพี่โตสุด นางจะไม่ยอมนั่งพื้นเลย ต้องมีหมอนมารอง,นอนทับหัวแม่,นั่งบนโต๊ะบนเครื่องปริ้น อีกนิดบนแอร์แล้วจ้าานางไม่ยอมนั่งระดับเดียวกับน้องๆ  "
107,รับน้องโซตัส  ผ่าน @YouTube
108,เริ่มจากโดนตกจากโซตัส เพราะดูโซตัสแล้วสะดุดตากับเพื่อนพระเอกมากเลยไปหามาเลยรู้ว่าเป็นพี่ออฟพอส่องไปๆมาๆก็โดนตกมาจนถึงทุกวันนี้ ตอนแรกไม่อยากเล่นทวิตเตอร์ด้วยจนมาเรียนกรุงเทพมีเวลาตามงานเลยต้องสมัครทวิตเตอร์เพื่อติดตามข่าวสารต่างๆ 
109,"ไม่เคยติ่ง ไม่เคยตามใครเป็นพิเศษ
อยู่ๆ ไปเจอโซตัส
ดูแค่แว๊ปเดียวก็หลงรักพี่ไบร์ททันที
ปกติไม่ชอบขาวตี๋ แต่ตี๋คนนี้โครตเท่ย์ 
เลยไปดูงานอื่นของตี๋ จนมาเจอซีรีย์รุ่นพี่ 
ที่เล่นคู่น้องกัน ใช่ค่ะ หลงน้องกันหนักมาก
ฉันกลายเป็น #เบบี๋ ฉันรัก #ออฟกัน 
จนถึงทุกวันนี้ #เบบี๋5ขวบแล้วจ้า "
110,ฟังนายอาร์มเรื่องโซตัส แล้วกำหมัดอย่างรุนแรงที่มหาลัยกับอาจารย์เมินเฉยอะ
111,กระดาษโปรย คอนโซตัส มีของ คริสสิง แล้วก็ออฟจุม คร้า ใบล่ะ 250 รวมส่ง แถมรูปมินิเลือกเองได้เลยจร้า (ช่วยซื้อหน่อยจร้า จะรวมเงินไปซื้อตู้เย็นจร้าา )  #ตลาดนัดคริสสิง #ตลาดนัดคริสสิงโต #ตลาดนัดพีรญา #ตลาดนัดgmm 
112,ไปเสือกมาคือ อีดอก เบลมให้คนอื่นเป็นผู้กระทำเว่อ แล้วตัวเองรับบทเหยื่อแทน แต่10ปีที่ผ่านมาตัวเองกระทำเขาจนtraumaติดตัว ถ้าไม่สไลด์หน้ามาก็ไม่มีใครรู้หรอกว่าเป็นประธาน ละพิมพ์ขอโทษแบบปล่อยผ่านไปที อี๋ พวกโซตัส
113,"เริ่มรู้จักออฟจากโซตัส โดนตกเพราะความเกรียนเลย บ่นกับตัวเองว่าดาราบ้าอะไรไม่คีพลุคเลย จนมารู้ว่าเล่นชร.วายกับน้องกันเลยตามมาดู โดนน้องกันตกในบทน้องโรม จนตอนนี้สถาปนาตัวเองเป็นแม่น้องกัน แต่เป็นลูกของป่าปี๊ ความสัมพันธ์งงๆแต่โคตรมีความสุข รักทั้งคู่สุดๆ
#เบบี๋5ขวบแล้วจ้า
#ออฟกัน "
114, on @YouTube: รับน้องโซตัส 
